% This file was produced by combining data in 'SCPUnion2.1_AllSNe.tex' and 'SCPUnion2.1_mu_vs_z.txt', both of them downloaded from the Union2.1 Supernova Cosmology Project website: http://supernova.lbl.gov/Union/ (see under titles 'Full Table of All SNe' and 'Union2.1 Compilation Magnitude vs. Redshift Table (for your own cosmology fitter)'). The data was originally used in Suzuki et al., ApJ 746, 1, 85, 24 (2012); e-print: https://arxiv.org/abs/1105.3470
%
% Columns:
% z - redshift
% m_B^max - apparent magnitude in the B-band at maximum light
% sigma_mB - 1 sigma uncertainty of m_B^max
% x1 - stretch (the deviation of the SNIa lightcurve from the average lightcurve shape)
% sigma_x1 - 1 sigma uncertainty of x1
% c - color (the deviation of the SNIa B−V color from the mean SNIa B−V color)
% sigma_c - 1 sigma uncertainty of c
% P(true<thresh.) - probability that the host galaxy belongs in a low-host-mass category; for an explanation of this, see Section 4.1 in Suzuki et al. 2012
% Sample - an integer number from 1-19 indicating which survey sample the SNIa data was taken from. The names of the surveys are listed in a reversed order in Figure 3 of Suzuki et al. 2012.
%
% Credits: 
% Peter Raffai, Gergely Dalya, Alexandra Karsai; 
% Institute of Physics, Eotvos Lorand University, H-1117 Budapest, Pazmany P. s. 1/A.
% All rights reserved. (2021)
% Contact: peter.raffai@ttk.elte.hu
%
% z	m_B^max	sigma_mB	x1	sigma_x1	c	sigma_c	P(true<thresh.)	Sample
0.028488	16.86	0.19	-2.26	0.93	0.23	0.09	0.128418942246	1
0.050043	17.79	0.05	-1.09	0.24	0.12	0.02	0.128418942246	1
0.052926	17.6	0.05	-1.03	0.14	-0.01	0.02	0.128418942246	1
0.070086	18.43	0.04	-0.53	0.21	0.09	0.02	0.128418942246	1
0.062668	18.25	0.05	-0.27	0.23	0.02	0.02	0.128418942246	1
0.087589	19.19	0.11	-2.97	0.38	-0.04	0.07	0.128418942246	1
0.078577	18.27	0.04	-1.27	0.2	-0.02	0.02	0.128418942246	1
0.017227	15.75	0.13	-2.68	0.18	0.03	0.02	0.128418942246	1
0.042233	17.3	0.08	-1.95	0.24	0.02	0.04	0.128418942246	1
0.045295	17.58	0.05	-0.02	0.25	0.1	0.02	0.128418942246	1
0.03648	16.71	0.09	-0.66	0.22	0.01	0.03	0.128418942246	1
0.019599	15.07	0.11	0.51	0.1	-0.05	0.01	0.128418942246	1
0.100915	19.27	0.05	-1.36	0.43	-0.02	0.03	0.128418942246	1
0.027342	16.26	0.09	-0.13	0.21	0.19	0.02	0.128418942246	1
0.074605	18.39	0.04	-0.68	0.21	0.01	0.03	0.128418942246	1
0.026489	16.03	0.09	0.7	0.58	-0.02	0.02	0.001870261557	1
0.049922	17.75	0.05	-2.65	0.26	0.07	0.02	0.128418942246	1
0.030604	16.19	0.08	0.39	0.29	-0	0.03	0.128418942246	1
0.016345641	15.02	0.14	0.04	0.14	0.12	0.01	0.128418942246	2
0.0154363	15.26	0.14	-0.79	0.12	0.22	0.01	0.128418942246	2
0.030529	16.19	0.07	0	0.14	-0.04	0.01	0.128418942246	2
0.024525	15.53	0.09	0.35	0.2	-0.07	0.01	0.128418942246	2
0.023953	15.92	0.1	-0.55	0.17	0.08	0.03	0.128418942246	2
0.026038	16	0.09	1.64	0.21	0.06	0.02	0.128418942246	2
0.048948	17.72	0.08	-1.16	0.37	0.07	0.04	0.0	3
0.024314	16.27	0.09	-1.74	0.18	0.11	0.02	6.1999960721e-11	3
0.015166	14.76	0.14	0.23	0.27	0	0.02	0.009354993721	3
0.03572	17.23	0.07	-2.03	0.2	0.13	0.03	0.79821525066	3
0.048818	17.03	0.05	0.57	0.14	0.02	0.01	5.14460000156e-08	3
0.021980005915	15.94	0.1	-1.53	0.2	0.09	0.03	0.128418942246	3
0.1244	19.44	0.03	0.17	0.21	-0.11	0.02	0.128418942246	3
0.036	16.62	0.07	-0.09	0.18	0.04	0.02	0.128418942246	3
0.016321	15.82	0.13	-1.04	0.18	0.4	0.01	0.128418942246	3
0.01673	15.28	0.14	0.93	0.49	0.19	0.02	0.128418942246	3
0.0275	16.59	0.08	0.39	0.19	0.12	0.02	0.218251065653	3
0.021793	15.86	0.1	0.37	0.16	0.1	0.02	0.128418942246	4
0.01645	15.34	0.13	-2.6	0.29	0.06	0.02	0.128418942246	4
0.023208	16.57	0.1	-2.5	0.29	0.2	0.02	0.128418942246	4
0.036457	17.05	0.06	-1.12	0.17	0.04	0.02	0.128418942246	4
0.019264	16.91	0.12	-1.08	0.27	0.46	0.02	0.128418942246	4
0.017605	15.59	0.18	-1.08	0.15	0.17	0.01	0.128418942246	4
0.031528	16.77	0.07	-1.89	0.28	0.05	0.02	0.0	4
0.023536	16.08	0.1	-0.79	0.35	0.05	0.02	0.128418942246	4
0.016743	14.8	0.13	-1.23	0.26	-0.02	0.02	0.128418942246	4
0.05371	17.58	0.05	-2.32	0.41	0.06	0.03	0.128418942246	4
0.016991	15.65	0.14	-2.33	1.54	0.12	0.05	0.128418942246	4
0.027865	16.11	0.08	0.04	0.14	0.14	0.02	0.00016313449	4
0.017173	15.07	0.14	-0.27	0.19	0.04	0.01	0.128418942246	4
0.029955	16.82	0.08	-0.84	0.28	0.02	0.02	0.128418942246	4
0.016559	15.31	0.13	-1.22	0.21	0.06	0.02	0.018543670198	4
0.015	14.69	0.15	0.91	0.1	-0.02	0.01	0.128418942246	5
0.0544	17.88	0.05	-0.28	0.15	0.08	0.01	0.128418942246	5
0.1561	19.96	0.03	-0.51	0.26	-0.01	0.01	0.128418942246	5
0.0393	16.77	0.06	2.14	0.24	0.01	0.02	0.128418942246	5
0.1241	19.74	0.04	1.84	0.58	0.19	0.03	0.128418942246	5
0.1441	20.4	0.04	-3.64	0.85	0.18	0.04	0.128418942246	5
0.1299	19.56	0.03	0.6	0.64	-0.01	0.03	0.128418942246	5
0.0784	18.37	0.03	0.42	0.21	0.02	0.02	0.128418942246	5
0.0583	17.63	0.06	1.35	0.67	0.03	0.02	0.0	6
0.0309	16.71	0.08	3.06	0.37	0.19	0.03	0.128418942246	6
0.0406	16.9	0.06	0.79	0.42	-0.02	0.02	0.128418942246	6
0.0152	14.68	0.15	0.64	0.21	0.02	0.02	0.128418942246	6
0.0224	15.16	0.2	-1.95	1.23	-0.29	0.11	0.128418942246	6
0.016	15.43	0.14	-1.7	0.61	0.15	0.04	0.137610159633	6
0.0362	16.57	0.06	1.4	0.19	0.03	0.02	0.128418942246	6
0.0173	14.91	0.14	-0.08	0.36	-0.02	0.05	0.128418942246	6
0.0312	16.56	0.09	-1.26	0.23	0.04	0.03	0.0	6
0.0221	16.51	0.1	-0.44	0.27	0.35	0.02	2.64313000042e-07	6
