% This ascii data file is produced by extracting Columns #4 (z), #5 (logFUV), #6 (sigma_logFUV), #7 (logFX), and #8 (sigma_logFX) from 'table3.dat' made available under title 'Quasars as standard candles. III.: J/A+A/642/A150' in VizieR (URL: http://cdsarc.u-strasbg.fr/viz-bin/cat/J/A+A/642/A150), which is the data used by Lusso, E., et al., A&A 642, A150, 24 (2020); e-print: https://arxiv.org/abs/2008.08586.
%
% Columns:
% z - redshift
% logFUV - rest-frame flux at 2500 Angstroem in units of log(erg/s/cm^2^)
% sigma_logFUV - error on rest-frame flux at 2500 Angstroem
% logFX - rest-frame flux at 2keV in units of log(erg/s/cm^2^)
% sigma_logFX - error on rest-frame flux at 2keV
%
% Credits: 
% Peter Raffai, Gergely Dalya, Alexandra Karsai; 
% Institute of Physics, Eotvos Lorand University, H-1117 Budapest, Pazmany P. s. 1/A.
% All rights reserved. (2021)
% Contact: peter.raffai@ttk.elte.hu
%
% z logFUV sigma_logFUV logFX sigma_logFX
3.235 -27.0054 0.0373 -31.3776 0.0386
3.296 -26.9766 0.01 -31.2377 0.0284
3.034 -26.9725 0.009 -31.1391 0.0241
3.284 -26.8863 0.0038 -31.3222 0.048
3.034 -26.7802 0.0046 -31.2414 0.0274
3.122 -26.5526 0.002 -31.3181 0.0362
3.118 -26.6048 0.014 -31.0714 0.0248
3.166 -26.866 0.008 -31.256 0.0254
3.096 -26.9596 0.0068 -31.103 0.021
3.114 -26.9199 0.0325 -31.4832 0.0341
3.155 -27.1181 0.0178 -31.5465 0.0425
3.101 -26.817 0.0191 -31.277 0.0336
3.197 -26.5082 0.0124 -31.0529 0.0231
3.028 -26.8319 0.0059 -31.2027 0.0274
4.34 -28.09978 0.1 -32.03181 0.309
4.18 -27.9588 0.1 -31.68485 0.23172
4.08 -27.87935 0.1 -32.25841 0.18464
4.43 -27.88167 0.1 -31.77116 0.24778
4.44 -27.74906 0.1 -32.15616 0.14696
4.44 -27.66065 0.1 -31.87851 0.22478
5.0 -27.62604 0.1 -32.20632 0.20533
4.01 -27.47829 0.1 -31.41182 0.14907
4.34 -27.46171 0.1 -31.63034 0.09103
4.44 -27.42664 0.1 -31.55446 0.17196
4.38 -27.22964 0.1 -31.88052 0.2417
4.51 -27.23637 0.1 -31.62388 0.13844
4.09 -26.92089 0.1 -31.37406 0.071
4.14 -26.75652 0.1 -31.45071 0.13257
5.41 -27.90734 0.1 -31.51484 0.17248
5.03 -27.71048 0.1 -32.30333 0.27136
4.99 -28.17135 0.1 -32.11467 0.25803
4.87 -28.75888 0.1 -32.62251 0.31829
4.15 -27.62895 0.1 -31.69477 0.07136
4.14 -27.43686 0.1 -31.56484 0.14613
5.09 -28.12958 0.1 -32.06935 0.20271
5.82 -27.95825 0.1 -31.89427 0.21475
5.93 -28.42779 0.1 -32.21748 0.24634
5.99 -28.48955 0.1 -32.46427 0.09801
6.05 -28.55129 0.1 -32.48646 0.21843
6.07 -27.84107 0.1 -32.07127 0.18272
6.3 -27.16278 0.1 -31.70496 0.07352
6.31 -28.38109 0.1 -31.9831 0.05533
7.08 -27.24363 0.1 -31.63 0.05928
0.4772 -27.04083 0.01049 -30.97857 0.01792
0.3001 -27.53093 0.02133 -31.09117 0.02244
0.77 -27.53274 0.01792 -31.13751 0.02021
0.957 -27.58353 0.01255 -31.86185 0.02621
1.7039 -26.85737 0.01076 -31.01617 0.03732
1.3301 -27.09203 0.01009 -30.94667 0.02833
0.4661 -27.4847 0.02159 -31.1075 0.01564
0.8909 -27.03538 0.01595 -30.991 0.017
0.7218 -27.80318 0.01533 -31.2627 0.01867
1.0408 -27.73336 0.01098 -31.26064 0.03257
0.5719 -27.56492 0.01699 -31.18444 0.01767
0.6294 -27.2663 0.01156 -31.10189 0.01372
0.9842 -27.53431 0.01538 -31.19358 0.02166
1.1254 -27.31324 0.0114 -31.24609 0.02949
0.8269 -27.63468 0.02286 -31.23562 0.02435
0.8064 -27.45505 0.01412 -31.27 0.0264
1.0029 -27.70862 0.01336 -31.27396 0.02554
1.627 -27.41098 0.01421 -31.31634 0.04012
0.9956 -27.74827 0.014 -31.29633 0.02669
1.397 -26.91812 0.01063 -31.22105 0.01377
0.861 -27.80952 0.01492 -31.35153 0.02932
1.0154 -27.49132 0.01349 -31.32167 0.02563
1.6757 -27.32113 0.01242 -31.18976 0.04133
0.5829 -27.33086 0.01285 -31.23973 0.04309
1.2249 -26.766 0.01035 -31.22729 0.02961
1.3114 -27.49192 0.01449 -31.4061 0.03895
0.445 -27.82284 0.02682 -31.21245 0.02925
0.7764 -27.59467 0.01665 -31.26897 0.0223
